id,topic_title,transcript_path,video_url,avatar_path,textbook_name,textbook_path,textbook_page,related_doc_name,related_doc_path,seminar_doc_name,seminar_doc_url,lecture_audio_url
1,人生１００年ヘルス＆スマート＆リッチ＆ファミリー＆カントリー,data/transcripts/動画 人生100年_processed.txt,https://photos.app.goo.gl/cfunLzBy1XKkEHRH7,static/images/default_avatar2.jpg,人生１００年ヘルス＆スマート＆リッチ＆ファミリー＆カントリー,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,2,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,http://blueearth.sakura.ne.jp/hontake_app/sound_url/Video_100_years_of_life.mp3
2,人生１００年人の一生に経る最低費用,data/transcripts/動画 人生最低費用_rewritten.txt,https://photos.app.goo.gl/C3NDAUcfLGvnZHyy5,static/images/default_avatar2.jpg,人生１００年人の一生に経る最低費用,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,http://blueearth.sakura.ne.jp/hontake_app/sound_url/Video_Life_Minimum_Cost.mp3
3,人生・子孫計画,,,static/images/default_avatar2.jpg,人生・子孫計画,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,
4,人生目標段階表,,,static/images/default_avatar2.jpg,人生目標段階表,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,
5,収入の種類,data/transcripts/動画 2024-06-17 11 26 22 (1)_rewritten.txt,https://photos.app.goo.gl/m4wCh6GEwLc9Lke18,static/images/default_avatar2.jpg,収入の種類,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,http://blueearth.sakura.ne.jp/hontake_app/sound_url/Video_2024-06-17_11_26_22_-1-.mp3
6, 人間は遺伝子と知識（経験）,data/transcripts/動画 2024-06-17 11 58 11 (1)_rewritten.txt,https://photos.app.goo.gl/oDoqoQTULWxKvLXBA,static/images/default_avatar2.jpg, 人間は遺伝子と知識（経験）,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,http://blueearth.sakura.ne.jp/hontake_app/sound_url/Video_2024-06-17_11_58_11_-1-.mp3
7,国民の家畜化からの脱出,,,static/images/default_avatar2.jpg,国民の家畜化からの脱出,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,
8,年金支給額減少,data/transcripts/IMG_2581_processed.txt,https://photos.app.goo.gl/yVQUAHAqLaTbYh1L9,static/images/default_avatar2.jpg,年金支給額減少,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,9,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,http://blueearth.sakura.ne.jp/hontake_app/sound_url/IMG_2581.mp3
9,成功の条件,data/transcripts/IMG_2582_processed.txt,https://photos.app.goo.gl/fnCBrsVnLJ45xKhd6,static/images/default_avatar2.jpg,成功の条件,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,16,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,http://blueearth.sakura.ne.jp/hontake_app/sound_url/IMG_2582.mp3
10,知的・物的・人的財産リスト,,,static/images/default_avatar2.jpg,知的・物的・人的財産リスト,http://blueearth.sakura.ne.jp/hontake_app/textbook/Life_improvement.pd,,,,人生向上.pdf,https://www.dropbox.com/scl/fo/w1pm4kxrdgcs5eox65d31/AHDv9Ye95v5ZmIxV_LpAWa8/%E4%BA%BA%E7%94%9F%E5%90%91%E4%B8%8A.pdf?rlkey=e0wc17cwc6c4aalzo729vli28&dl=0,
